ResourceId,ResourceName,ResourceGroup,ResourceType,Location,SubscriptionName,ServiceName,MeterCategory,UsageDate,CostINR,Currency,Tags_Owner,Tags_Environment,Tags_Project,UsageHours
/subscriptions/abc123/resourceGroups/rg-dev-westindia/providers/Microsoft.Compute/virtualMachines/vm-dev-api-001,vm-dev-api-001,rg-dev-westindia,Microsoft.Compute/virtualMachines,westindia,ABB-Dev-Subscription,Virtual Machines,Virtual Machines,2026-06-01,4200.00,INR,rajesh.kumar,Development,ProjectAlpha,24
/subscriptions/abc123/resourceGroups/rg-dev-westindia/providers/Microsoft.Compute/virtualMachines/vm-dev-api-001,vm-dev-api-001,rg-dev-westindia,Microsoft.Compute/virtualMachines,westindia,ABB-Dev-Subscription,Virtual Machines,Virtual Machines,2026-06-02,4200.00,INR,rajesh.kumar,Development,ProjectAlpha,24
/subscriptions/abc123/resourceGroups/rg-dev-westindia/providers/Microsoft.Compute/virtualMachines/vm-dev-api-001,vm-dev-api-001,rg-dev-westindia,Microsoft.Compute/virtualMachines,westindia,ABB-Dev-Subscription,Virtual Machines,Virtual Machines,2026-06-03,4200.00,INR,rajesh.kumar,Development,ProjectAlpha,24
/subscriptions/abc123/resourceGroups/rg-dev-westindia/providers/Microsoft.Compute/virtualMachines/vm-dev-api-001,vm-dev-api-001,rg-dev-westindia,Microsoft.Compute/virtualMachines,westindia,ABB-Dev-Subscription,Virtual Machines,Virtual Machines,2026-06-04,4200.00,INR,rajesh.kumar,Development,ProjectAlpha,24
/subscriptions/abc123/resourceGroups/rg-dev-westindia/providers/Microsoft.Compute/virtualMachines/vm-dev-api-001,vm-dev-api-001,rg-dev-westindia,Microsoft.Compute/virtualMachines,westindia,ABB-Dev-Subscription,Virtual Machines,Virtual Machines,2026-06-05,4200.00,INR,rajesh.kumar,Development,ProjectAlpha,24
/subscriptions/abc123/resourceGroups/rg-dev-westindia/providers/Microsoft.Compute/virtualMachines/vm-dev-api-001,vm-dev-api-001,rg-dev-westindia,Microsoft.Compute/virtualMachines,westindia,ABB-Dev-Subscription,Virtual Machines,Virtual Machines,2026-06-06,4200.00,INR,rajesh.kumar,Development,ProjectAlpha,24
/subscriptions/abc123/resourceGroups/rg-dev-westindia/providers/Microsoft.Compute/virtualMachines/vm-dev-api-001,vm-dev-api-001,rg-dev-westindia,Microsoft.Compute/virtualMachines,westindia,ABB-Dev-Subscription,Virtual Machines,Virtual Machines,2026-06-07,4200.00,INR,rajesh.kumar,Development,ProjectAlpha,24
/subscriptions/abc123/resourceGroups/rg-dev-westindia/providers/Microsoft.Compute/virtualMachines/vm-dev-api-002,vm-dev-api-002,rg-dev-westindia,Microsoft.Compute/virtualMachines,westindia,ABB-Dev-Subscription,Virtual Machines,Virtual Machines,2026-06-01,6800.00,INR,priya.sharma,Development,ProjectBeta,24
/subscriptions/abc123/resourceGroups/rg-dev-westindia/providers/Microsoft.Compute/virtualMachines/vm-dev-api-002,vm-dev-api-002,rg-dev-westindia,Microsoft.Compute/virtualMachines,westindia,ABB-Dev-Subscription,Virtual Machines,Virtual Machines,2026-06-02,6800.00,INR,priya.sharma,Development,ProjectBeta,24
/subscriptions/abc123/resourceGroups/rg-dev-westindia/providers/Microsoft.Compute/virtualMachines/vm-dev-api-002,vm-dev-api-002,rg-dev-westindia,Microsoft.Compute/virtualMachines,westindia,ABB-Dev-Subscription,Virtual Machines,Virtual Machines,2026-06-03,6800.00,INR,priya.sharma,Development,ProjectBeta,24
/subscriptions/abc123/resourceGroups/rg-dev-westindia/providers/Microsoft.Compute/virtualMachines/vm-dev-api-002,vm-dev-api-002,rg-dev-westindia,Microsoft.Compute/virtualMachines,westindia,ABB-Dev-Subscription,Virtual Machines,Virtual Machines,2026-06-04,6800.00,INR,priya.sharma,Development,ProjectBeta,24
/subscriptions/abc123/resourceGroups/rg-dev-westindia/providers/Microsoft.Compute/virtualMachines/vm-dev-api-002,vm-dev-api-002,rg-dev-westindia,Microsoft.Compute/virtualMachines,westindia,ABB-Dev-Subscription,Virtual Machines,Virtual Machines,2026-06-05,6800.00,INR,priya.sharma,Development,ProjectBeta,24
/subscriptions/abc123/resourceGroups/rg-dev-westindia/providers/Microsoft.Compute/virtualMachines/vm-dev-api-002,vm-dev-api-002,rg-dev-westindia,Microsoft.Compute/virtualMachines,westindia,ABB-Dev-Subscription,Virtual Machines,Virtual Machines,2026-06-06,6800.00,INR,priya.sharma,Development,ProjectBeta,24
/subscriptions/abc123/resourceGroups/rg-dev-westindia/providers/Microsoft.Compute/virtualMachines/vm-dev-api-002,vm-dev-api-002,rg-dev-westindia,Microsoft.Compute/virtualMachines,westindia,ABB-Dev-Subscription,Virtual Machines,Virtual Machines,2026-06-07,6800.00,INR,priya.sharma,Development,ProjectBeta,24
/subscriptions/abc123/resourceGroups/rg-prod-centralindia/providers/Microsoft.Compute/virtualMachines/vm-prod-web-001,vm-prod-web-001,rg-prod-centralindia,Microsoft.Compute/virtualMachines,centralindia,ABB-Prod-Subscription,Virtual Machines,Virtual Machines,2026-06-01,12500.00,INR,ops.team,Production,CorePlatform,24
/subscriptions/abc123/resourceGroups/rg-prod-centralindia/providers/Microsoft.Compute/virtualMachines/vm-prod-web-001,vm-prod-web-001,rg-prod-centralindia,Microsoft.Compute/virtualMachines,centralindia,ABB-Prod-Subscription,Virtual Machines,Virtual Machines,2026-06-02,12500.00,INR,ops.team,Production,CorePlatform,24
/subscriptions/abc123/resourceGroups/rg-prod-centralindia/providers/Microsoft.Compute/virtualMachines/vm-prod-web-001,vm-prod-web-001,rg-prod-centralindia,Microsoft.Compute/virtualMachines,centralindia,ABB-Prod-Subscription,Virtual Machines,Virtual Machines,2026-06-03,12500.00,INR,ops.team,Production,CorePlatform,24
/subscriptions/abc123/resourceGroups/rg-prod-centralindia/providers/Microsoft.Compute/virtualMachines/vm-prod-web-001,vm-prod-web-001,rg-prod-centralindia,Microsoft.Compute/virtualMachines,centralindia,ABB-Prod-Subscription,Virtual Machines,Virtual Machines,2026-06-04,12500.00,INR,ops.team,Production,CorePlatform,24
/subscriptions/abc123/resourceGroups/rg-prod-centralindia/providers/Microsoft.Compute/virtualMachines/vm-prod-web-001,vm-prod-web-001,rg-prod-centralindia,Microsoft.Compute/virtualMachines,centralindia,ABB-Prod-Subscription,Virtual Machines,Virtual Machines,2026-06-05,12500.00,INR,ops.team,Production,CorePlatform,24
/subscriptions/abc123/resourceGroups/rg-prod-centralindia/providers/Microsoft.Compute/virtualMachines/vm-prod-web-001,vm-prod-web-001,rg-prod-centralindia,Microsoft.Compute/virtualMachines,centralindia,ABB-Prod-Subscription,Virtual Machines,Virtual Machines,2026-06-06,12500.00,INR,ops.team,Production,CorePlatform,24
/subscriptions/abc123/resourceGroups/rg-prod-centralindia/providers/Microsoft.Compute/virtualMachines/vm-prod-web-001,vm-prod-web-001,rg-prod-centralindia,Microsoft.Compute/virtualMachines,centralindia,ABB-Prod-Subscription,Virtual Machines,Virtual Machines,2026-06-07,12500.00,INR,ops.team,Production,CorePlatform,24
/subscriptions/abc123/resourceGroups/rg-dev-westindia/providers/Microsoft.Compute/disks/disk-orphaned-001,disk-orphaned-001,rg-dev-westindia,Microsoft.Compute/disks,westindia,ABB-Dev-Subscription,Managed Disks,Storage,2026-06-01,850.00,INR,,Development,,24
/subscriptions/abc123/resourceGroups/rg-dev-westindia/providers/Microsoft.Compute/disks/disk-orphaned-001,disk-orphaned-001,rg-dev-westindia,Microsoft.Compute/disks,westindia,ABB-Dev-Subscription,Managed Disks,Storage,2026-06-02,850.00,INR,,Development,,24
/subscriptions/abc123/resourceGroups/rg-dev-westindia/providers/Microsoft.Compute/disks/disk-orphaned-001,disk-orphaned-001,rg-dev-westindia,Microsoft.Compute/disks,westindia,ABB-Dev-Subscription,Managed Disks,Storage,2026-06-03,850.00,INR,,Development,,24
/subscriptions/abc123/resourceGroups/rg-dev-westindia/providers/Microsoft.Compute/disks/disk-orphaned-001,disk-orphaned-001,rg-dev-westindia,Microsoft.Compute/disks,westindia,ABB-Dev-Subscription,Managed Disks,Storage,2026-06-04,850.00,INR,,Development,,24
/subscriptions/abc123/resourceGroups/rg-dev-westindia/providers/Microsoft.Compute/disks/disk-orphaned-001,disk-orphaned-001,rg-dev-westindia,Microsoft.Compute/disks,westindia,ABB-Dev-Subscription,Managed Disks,Storage,2026-06-05,850.00,INR,,Development,,24
/subscriptions/abc123/resourceGroups/rg-dev-westindia/providers/Microsoft.Compute/disks/disk-orphaned-001,disk-orphaned-001,rg-dev-westindia,Microsoft.Compute/disks,westindia,ABB-Dev-Subscription,Managed Disks,Storage,2026-06-06,850.00,INR,,Development,,24
/subscriptions/abc123/resourceGroups/rg-dev-westindia/providers/Microsoft.Compute/disks/disk-orphaned-001,disk-orphaned-001,rg-dev-westindia,Microsoft.Compute/disks,westindia,ABB-Dev-Subscription,Managed Disks,Storage,2026-06-07,850.00,INR,,Development,,24
/subscriptions/abc123/resourceGroups/rg-dev-westindia/providers/Microsoft.Compute/disks/disk-orphaned-002,disk-orphaned-002,rg-dev-westindia,Microsoft.Compute/disks,westindia,ABB-Dev-Subscription,Managed Disks,Storage,2026-06-01,1200.00,INR,,Development,,24
/subscriptions/abc123/resourceGroups/rg-dev-westindia/providers/Microsoft.Compute/disks/disk-orphaned-002,disk-orphaned-002,rg-dev-westindia,Microsoft.Compute/disks,westindia,ABB-Dev-Subscription,Managed Disks,Storage,2026-06-02,1200.00,INR,,Development,,24
/subscriptions/abc123/resourceGroups/rg-dev-westindia/providers/Microsoft.Compute/disks/disk-orphaned-002,disk-orphaned-002,rg-dev-westindia,Microsoft.Compute/disks,westindia,ABB-Dev-Subscription,Managed Disks,Storage,2026-06-03,1200.00,INR,,Development,,24
/subscriptions/abc123/resourceGroups/rg-dev-westindia/providers/Microsoft.Compute/disks/disk-orphaned-002,disk-orphaned-002,rg-dev-westindia,Microsoft.Compute/disks,westindia,ABB-Dev-Subscription,Managed Disks,Storage,2026-06-04,1200.00,INR,,Development,,24
